numero_creance;type_creance;nature_creance;total;restant;cin;id_debiteur;numero_dossier;restant
431000000000000_34;1;;596982.82;596982.82;B77983_34;67;B77983_34;596982.82
4310000000000000_35;1;;593180.44;593180.44;CD231490_35;68;CD231490_35;593180.44
431000000000000_35;1;;592645.98;592645.98;B77983_35;69;B77983_35;592645.98
4310000000000000_36;1;;564089.94;564089.94;CD231490_36;70;CD231490_36;564089.94
431000000000000_36;1;;561521.61;561521.61;B77983_36;71;B77983_36;561521.61
4310000000000000_37;1;;555682.81;555682.81;CD231490_37;72;CD231490_37;555682.81
431000000000000_37;1;;550925.14;550925.14;B77983_37;73;B77983_37;550925.14
4310000000000000_38;1;;546231.22;546231.22;CD231490_38;74;CD231490_38;546231.22
431000000000000_38;1;;533088.76;533088.76;B77983_38;75;B77983_38;533088.76
4310000000000000_39;1;;530008.39;530008.39;CD231490_39;76;CD231490_39;530008.39
431000000000000_39;1;;529175.26;529175.26;B77983_39;77;B77983_39;529175.26
4310000000000000_40;1;;520822.62;520822.62;CD231490_40;78;CD231490_40;520822.62
431000000000000_40;1;;516925.53;516925.53;B77983_40;79;B77983_40;516925.53
4310000000000000_41;1;;506477.06;506477.06;CD231490_41;80;CD231490_41;506477.06
431000000000000_41;1;;488435.25;488435.25;B77983_41;81;B77983_41;488435.25
4310000000000000_42;1;;488132.17;488132.17;CD231490_42;82;CD231490_42;488132.17
431000000000000_42;1;;483876.22;483876.22;B77983_42;83;B77983_42;483876.22
4310000000000000_43;1;;483048.77;483048.77;CD231490_43;84;CD231490_43;483048.77
431000000000000_43;1;;482021.8;482021.8;B77983_43;85;B77983_43;482021.8
4310000000000000_44;1;;481821.25;481821.25;CD231490_44;86;CD231490_44;481821.25
431000000000000_44;1;;478932.52;478932.52;B77983_44;87;B77983_44;478932.52
4310000000000000_45;1;;478263.29;478263.29;CD231490_45;88;CD231490_45;478263.29
431000000000000_45;1;;477668.75;477668.75;B77983_45;89;B77983_45;477668.75
4310000000000000_46;1;;476364.67;476364.67;CD231490_46;90;CD231490_46;476364.67
431000000000000_46;1;;475140.87;475140.87;B77983_46;91;B77983_46;475140.87
4310000000000000_47;1;;471934.46;471934.46;CD231490_47;92;CD231490_47;471934.46
431000000000000_47;1;;464936.82;464936.82;B77983_47;93;B77983_47;464936.82
4310000000000000_48;1;;463885.35;463885.35;CD231490_48;94;CD231490_48;463885.35
431000000000000_48;1;;461741.75;461741.75;B77983_48;95;B77983_48;461741.75
4310000000000000_49;1;;461636.21;461636.21;CD231490_49;96;CD231490_49;461636.21
431000000000000_49;1;;460110.34;460110.34;B77983_49;97;B77983_49;460110.34
4310000000000000_50;1;;459691.23;459691.23;CD231490_50;98;CD231490_50;459691.23
431000000000000_50;1;;447208.96;447208.96;B77983_50;99;B77983_50;447208.96
