c"ccin,nom, id_debiteur,type_deb,numero_doss,champ_test,second_champ,prenom,rc"
Y116431;test34;34;1;Y116431;champ34;second34;test34;Y116431
K427504;test35;35;1;K427504;champ35;second35;test35;K427504
BJ388446;test36;36;1;BJ388446;champ36;second36;test36;BJ388446
X180135;test37;37;1;X180135;champ37;second37;test37;X180135
D418621;test38;38;1;D418621;champ38;second38;test38;D418621
F529462;test39;39;1;F529462;champ39;second39;test39;F529462
EE6998;test40;40;1;EE6998;champ40;second40;test40;EE6998
UA50075;test41;41;1;UA50075;champ41;second41;test41;UA50075
A379621;test42;42;1;A379621;champ42;second42;test42;A379621
WA238510;test43;43;1;WA238510;champ43;second43;test43;WA238510
T244778;test44;44;1;T244778;champ44;second44;test44;T244778
F527758;test45;45;1;F527758;champ45;second45;test45;F527758
BJ226083;test46;46;1;BJ226083;champ46;second46;test46;BJ226083
AA34;test47;47;1;AA34;champ47;second47;test47;AA34
BE689622;test48;48;1;BE689622;champ48;second48;test48;BE689622
BH405139;test49;49;1;BH405139;champ49;second49;test49;BH405139
EE517920;test50;50;1;EE517920;champ50;second50;test50;EE517920
BE511577;test51;51;1;BE511577;champ51;second51;test51;BE511577
W401039;test52;52;1;W401039;champ52;second52;test52;W401039
BE714238;test53;53;1;BE714238;champ53;second53;test53;BE714238
BH478143;test54;54;1;BH478143;champ54;second54;test54;BH478143
WB154883;test55;55;1;WB154883;champ55;second55;test55;WB154883
BJ371002;test56;56;1;BJ371002;champ56;second56;test56;BJ371002
T173089;test57;57;1;T173089;champ57;second57;test57;T173089
AB156965;test58;58;1;AB156965;champ58;second58;test58;AB156965
W134304;test59;59;1;W134304;champ59;second59;test59;W134304
BE799838;test60;60;1;BE799838;champ60;second60;test60;BE799838
BK33939;test61;61;1;BK33939;champ61;second61;test61;BK33939
A633178;test62;62;1;A633178;champ62;second62;test62;A633178
Y68343;test63;63;1;Y68343;champ63;second63;test63;Y68343
J6548;test64;64;1;J6548;champ64;second64;test64;J6548
C294885;test65;65;1;C294885;champ65;second65;test65;C294885
L572;test66;66;1;L572;champ66;second66;test66;L572
D8217;test67;67;1;D8217;champ67;second67;test67;D8217
