numero_dossier;nom_donneur_order;id_debiteur;dossier_id;cin
B77983_34;CAM;67;75416;B77983_34
CD231490_35;CAM;68;75417;CD231490_35
B77983_35;CAM;69;75418;B77983_35
CD231490_36;CAM;70;75419;CD231490_36
B77983_36;CAM;71;75420;B77983_36
CD231490_37;CAM;72;75421;CD231490_37
B77983_37;CAM;73;75422;B77983_37
CD231490_38;CAM;74;75423;CD231490_38
B77983_38;CAM;75;75424;B77983_38
CD231490_39;CAM;76;75425;CD231490_39
B77983_39;CAM;77;75426;B77983_39
CD231490_40;CAM;78;75427;CD231490_40
B77983_40;CAM;79;75428;B77983_40
CD231490_41;CAM;80;75429;CD231490_41
B77983_41;CAM;81;75430;B77983_41
CD231490_42;CAM;82;75431;CD231490_42
B77983_42;CAM;83;75432;B77983_42
CD231490_43;CAM;84;75433;CD231490_43
B77983_43;CAM;85;75434;B77983_43
CD231490_44;CAM;86;75435;CD231490_44
B77983_44;CAM;87;75436;B77983_44
CD231490_45;CAM;88;75437;CD231490_45
B77983_45;CAM;89;75438;B77983_45
CD231490_46;CAM;90;75439;CD231490_46
B77983_46;CAM;91;75440;B77983_46
CD231490_47;CAM;92;75441;CD231490_47
B77983_47;CAM;93;75442;B77983_47
CD231490_48;CAM;94;75443;CD231490_48
B77983_48;CAM;95;75444;B77983_48
CD231490_49;CAM;96;75445;CD231490_49
B77983_49;CAM;97;75446;B77983_49
CD231490_50;CAM;98;75447;CD231490_50
B77983_50;CAM;99;75448;B77983_50
