numero_dossier;nom_donneur_order;id_debiteur;dossier_id;cin
B77983_17;BMCI;33;74343;B77983_17
CD231490_18;BMCI;34;74344;CD231490_18
B77983_18;BMCI;35;74345;B77983_18
CD231490_19;BMCI;36;74349;CD231490_19
B77983_19;BMCI;37;74350;B77983_19
CD231490_20;BMCI;38;74352;CD231490_20
B77983_20;BMCI;39;74354;B77983_20
CD231490_21;BMCI;40;74357;CD231490_21
B77983_21;BMCI;41;74360;B77983_21
CD231490_22;BMCI;42;74363;CD231490_22
B77983_22;BMCI;43;74366;B77983_22
CD231490_23;BMCI;44;74368;CD231490_23
B77983_23;BMCI;45;74370;B77983_23
CD231490_24;BMCI;46;74371;CD231490_24
B77983_24;BMCI;47;74373;B77983_24
CD231490_25;BMCI;48;74374;CD231490_25
B77983_25;BMCI;49;74377;B77983_25
CD231490_26;BMCI;50;74379;CD231490_26
B77983_26;BMCI;51;74381;B77983_26
CD231490_27;BMCI;52;74384;CD231490_27
B77983_27;BMCI;53;74386;B77983_27
CD231490_28;BMCI;54;74388;CD231490_28
B77983_28;BMCI;55;74391;B77983_28
CD231490_29;BMCI;56;74392;CD231490_29
B77983_29;BMCI;57;74393;B77983_29
CD231490_30;BMCI;58;74395;CD231490_30
B77983_30;BMCI;59;74396;B77983_30
CD231490_31;BMCI;60;74397;CD231490_31
B77983_31;CAM;61;75409;B77983_31
CD231490_32;CAM;62;75410;CD231490_32
B77983_32;CAM;63;75412;B77983_32
CD231490_33;CAM;64;75413;CD231490_33
B77983_33;CAM;65;75414;B77983_33
CD231490_34;CAM;66;75415;CD231490_34
