cin;nom;id_debiteur;type_deb;numero_doss;datenaissance;second_champ;prenom;rc
C45478;test33;33;1;C45478;03/04/2024;second33;test33;C45478
Y116431;test34;34;1;Y116431;04/04/2024;second34;test34;Y116431
K427504;test35;35;1;K427504;05/04/2024;second35;test35;K427504
BJ388446;test36;36;1;BJ388446;06/04/2024;second36;test36;BJ388446
X180135;test37;37;1;X180135;07/04/2024;second37;test37;X180135
D418621;test38;38;1;D418621;08/04/2024;second38;test38;D418621
F529462;test39;39;1;F529462;09/04/2024;second39;test39;F529462
EE6998;test40;40;1;EE6998;10/04/2024;second40;test40;EE6998
UA50075;test41;41;1;UA50075;11/04/2024;second41;test41;UA50075
A379621;test42;42;1;A379621;12/04/2024;second42;test42;A379621
WA238510;test43;43;1;WA238510;13/04/2024;second43;test43;WA238510
T244778;test44;44;1;T244778;14/04/2024;second44;test44;T244778
F527758;test45;45;1;F527758;15/04/2024;second45;test45;F527758
BJ226083;test46;46;1;BJ226083;16/04/2024;second46;test46;BJ226083
AA34;test47;47;1;AA34;17/04/2024;second47;test47;AA34
BE689622;test48;48;1;BE689622;18/04/2024;second48;test48;BE689622
BH405139;test49;49;1;BH405139;19/04/2024;second49;test49;BH405139
EE517920;test50;50;1;EE517920;20/04/2024;second50;test50;EE517920
BE511577;test51;51;1;BE511577;21/04/2024;second51;test51;BE511577
W401039;test52;52;1;W401039;22/04/2024;second52;test52;W401039
BE714238;test53;53;1;BE714238;23/04/2024;second53;test53;BE714238
BH478143;test54;54;1;BH478143;24/04/2024;second54;test54;BH478143
WB154883;test55;55;1;WB154883;25/04/2024;second55;test55;WB154883
BJ371002;test56;56;1;BJ371002;26/04/2024;second56;test56;BJ371002
T173089;test57;57;1;T173089;27/04/2024;second57;test57;T173089
AB156965;test58;58;1;AB156965;28/04/2024;second58;test58;AB156965
W134304;test59;59;1;W134304;29/04/2024;second59;test59;W134304
BE799838;test60;60;1;BE799838;30/04/2024;second60;test60;BE799838
BK33939;test61;61;1;BK33939;01/05/2024;second61;test61;BK33939
A633178;test62;62;1;A633178;02/05/2024;second62;test62;A633178
Y68343;test63;63;1;Y68343;03/05/2024;second63;test63;Y68343
J6548;test64;64;1;J6548;04/05/2024;second64;test64;J6548
C294885;test65;65;1;C294885;05/05/2024;second65;test65;C294885
L572;test66;66;1;L572;06/05/2024;second66;test66;L572
