numero_doss,nom_donneur_order,debiteur_id,dossier2
D8217;CAM;67;D8217
X6083;CAM;68;X6083
EA1248;CAM;69;EA1248
X42499;CAM;70;X42499
F213414;CAM;71;F213414
M171196;CAM;72;M171196
M31440;CAM;73;M31440
D16612;CAM;74;D16612
M9820;CAM;75;M9820
T28859;CAM;76;T28859
Q25273;CAM;77;Q25273
DA14024;CAM;78;DA14024
DA4618;CAM;79;DA4618
ZZ68840;CAM;80;ZZ68840
M6615;CAM;81;M6615
G4920;CAM;82;G4920
G114268;CAM;83;G114268
J102274;CAM;84;J102274
M21915;CAM;85;M21915
G34029;CAM;86;G34029
C252786;CAM;87;C252786
ZZ22830;CAM;88;ZZ22830
Z2895;CAM;89;Z2895
H130446;CAM;90;H130446
M123;CAM;91;M123
D24584;CAM;92;D24584
D188118;CAM;93;D188118
J109557;CAM;94;J109557
C421053-C6;CAM;95;C421053-C6
M43351;CAM;96;M43351
D465184;CAM;97;D465184
C6347;CAM;98;C6347
Z24588;CAM;99;Z24588
