numero;indecatif;type_tel;id_debiteur
677882311;212;1;33
677882311;212;1;34
677882311;212;1;35
677882311;212;1;36
677882311;212;1;37
677882311;212;1;38
677882311;212;1;39
677882311;212;1;40
677882311;212;1;41
677882311;212;1;42
677882311;212;1;43
677882311;212;1;44
677882311;212;1;45
677882311;212;1;46
677882311;212;1;47
677882311;212;1;48
677882311;212;1;49
677882311;212;1;50
677882311;212;1;51
677882311;212;1;52
677882311;212;1;53
677882311;212;1;54
677882311;212;1;55
677882311;212;1;56
677882311;212;1;57
677882311;212;1;58
677882311;212;1;59
677882311;212;1;60
677882311;212;1;61
677882311;212;1;62
677882311;212;1;63
677882311;212;1;64
677882311;212;1;65
677882311;212;1;66
