numero;indecatif;type_tel;id_debiteur
677882311;212;1;67
677882311;212;1;68
677882311;212;1;69
677882311;212;1;70
677882311;212;1;71
677882311;212;1;72
677882311;212;1;73
677882311;212;1;74
677882311;212;1;75
677882311;212;1;76
677882311;212;1;77
677882311;212;1;78
677882311;212;1;79
677882311;212;1;80
677882311;212;1;81
677882311;212;1;82
677882311;212;1;83
677882311;212;1;84
677882311;212;1;85
677882311;212;1;86
677882311;212;1;87
677882311;212;1;88
677882311;212;1;89
677882311;212;1;90
677882311;212;1;91
677882311;212;1;92
677882311;212;1;93
677882311;212;1;94
677882311;212;1;95
677882311;212;1;96
677882311;212;1;97
677882311;212;1;98
677882311;212;1;99
