numero;indecatif;type_tel;id_debiteur

677882311;212;1;1
677882311;212;1;2
677882311;212;1;3
677882311;212;1;4
677882311;212;1;5
677882311;212;1;6
677882311;212;1;7
677882311;212;1;8
677882311;212;1;9
677882311;212;1;10
677882311;212;1;11
677882311;212;1;12
677882311;212;1;13
677882311;212;1;14
677882311;212;1;15
677882311;212;1;16
677882311;212;1;17
677882311;212;1;18
677882311;212;1;19
677882311;212;1;20
677882311;212;1;21
677882311;212;1;22
677882311;212;1;23
677882311;212;1;24
677882311;212;1;25
677882311;212;1;26
677882311;212;1;27
677882311;212;1;28
677882311;212;1;29
677882311;212;1;30
677882311;212;1;31
677882311;212;1;32
