numero_creance;type_creance;nature_creance;total;restant;cin;id_debiteur;numero_dossier;restant
431000000000000_17;1;;1786.8;1786.8;B77983_17;33;B77983_17;1786.8
4310000000000000_18;1;;87883;87883;CD231490_18;34;CD231490_18;87883
431000000000000_18;1;;36144.07;36144.07;B77983_18;35;B77983_18;36144.07
4310000000000000_19;1;;83979.53;83979.53;CD231490_19;36;CD231490_19;83979.53
431000000000000_19;1;;56158.18;56158.18;B77983_19;37;B77983_19;56158.18
4310000000000000_20;1;;127196.31;127196.31;CD231490_20;38;CD231490_20;127196.31
431000000000000_20;1;;7.201.849.999.999.990;37.206.099.999.999.900;B77983_20;39;B77983_20;37.206.099.999.999.900
4310000000000000_21;1;;14772.36;11107.02;CD231490_21;40;CD231490_21;11107.02
431000000000000_21;1;;92825.83;92825.83;B77983_21;41;B77983_21;92825.83
4310000000000000_22;1;;2084.6;1585.6;CD231490_22;42;CD231490_22;1585.6
431000000000000_22;1;;10183.16;10183.16;B77983_22;43;B77983_22;10183.16
4310000000000000_23;1;;20110.07;17860.07;CD231490_23;44;CD231490_23;17860.07
431000000000000_23;1;;5241;0;B77983_23;45;B77983_23;0
4310000000000000_24;1;;60454.17;60454.17;CD231490_24;46;CD231490_24;60454.17
431000000000000_24;1;;51175.14;51175.14;B77983_24;47;B77983_24;51175.14
4310000000000000_25;1;;307048.33;307048.33;CD231490_25;48;CD231490_25;307048.33
431000000000000_25;1;;253628.27;253628.27;B77983_25;49;B77983_25;253628.27
4310000000000000_26;1;;957.8;957.8;CD231490_26;50;CD231490_26;957.8
431000000000000_26;1;;10235.05;10235.05;B77983_26;51;B77983_26;10235.05
4310000000000000_27;1;;102349.66;102349.66;CD231490_27;52;CD231490_27;102349.66
431000000000000_27;1;;15490.5;14290.5;B77983_27;53;B77983_27;14290.5
4310000000000000_28;1;;246797.57;246797.57;CD231490_28;54;CD231490_28;246797.57
431000000000000_28;1;;101423.35;101423.35;B77983_28;55;B77983_28;101423.35
4310000000000000_29;1;;169362.64;117851.25;CD231490_29;56;CD231490_29;117851.25
431000000000000_29;1;;146673.38;140673.38;B77983_29;57;B77983_29;140673.38
4310000000000000_30;1;;142505.91;142505.91;CD231490_30;58;CD231490_30;142505.91
431000000000000_30;1;;30.726.351.999.999.900;30.726.351.999.999.900;B77983_30;59;B77983_30;30.726.351.999.999.900
4310000000000000_31;1;;214985.92;214985.92;CD231490_31;60;CD231490_31;214985.92
431000000000000_31;1;;100000;100000;B77983_31;61;B77983_31;100000
4310000000000000_32;1;;100000;100000;CD231490_32;62;CD231490_32;100000
431000000000000_32;1;;632889.06;632889.06;B77983_32;63;B77983_32;632889.06
4310000000000000_33;1;;631070.41;631070.41;CD231490_33;64;CD231490_33;631070.41
431000000000000_33;1;;610210.55;610210.55;B77983_33;65;B77983_33;610210.55
4310000000000000_34;1;;609229.86;609229.86;CD231490_34;66;CD231490_34;609229.86
