numero_dossier;nom_donneur_order;id_debiteur;dossier_id;cin

B77983_1;BMCI;1;74292;B77983_1
CD231490_2;BMCI;2;74293;CD231490_2
B77983_2;BMCI;3;74294;B77983_2
CD231490_3;BMCI;4;74296;CD231490_3
B77983_3;BMCI;5;74297;B77983_3
CD231490_4;BMCI;6;74298;CD231490_4
B77983_4;BMCI;7;74299;B77983_4
CD231490_5;BMCI;8;74300;CD231490_5
B77983_5;BMCI;9;74301;B77983_5
CD231490_6;BMCI;10;74302;CD231490_6
B77983_6;BMCI;11;74303;B77983_6
CD231490_7;BMCI;12;74304;CD231490_7
B77983_7;BMCI;13;74305;B77983_7
CD231490_8;BMCI;14;74306;CD231490_8
B77983_8;BMCI;15;74308;B77983_8
CD231490_9;BMCI;16;74310;CD231490_9
B77983_9;BMCI;17;74312;B77983_9
CD231490_10;BMCI;18;74316;CD231490_10
B77983_10;BMCI;19;74317;B77983_10
CD231490_11;BMCI;20;74318;CD231490_11
B77983_11;BMCI;21;74321;B77983_11
CD231490_12;BMCI;22;74324;CD231490_12
B77983_12;BMCI;23;74326;B77983_12
CD231490_13;BMCI;24;74327;CD231490_13
B77983_13;BMCI;25;74328;B77983_13
CD231490_14;BMCI;26;74329;CD231490_14
B77983_14;BMCI;27;74330;B77983_14
CD231490_15;BMCI;28;74335;CD231490_15
B77983_15;BMCI;29;74336;B77983_15
CD231490_16;BMCI;30;74339;CD231490_16
B77983_16;BMCI;31;74340;B77983_16
CD231490_17;BMCI;32;74342;CD231490_17
