cin;nom;id_debiteur;type_deb;numero_doss;datenaissance;second_champ;prenom;rc

B77983;test1;1;1;B77983;01/03/2024;second1;test1;B77983
;test2;2;1;CD231490;03/03/2024;second2;test2;CD231490
AB184014;test3;3;1;AB184014;04/03/2024;second3;test3;AB184014
B656869;test4;4;1;B656869;05/03/2024;second4;test4;B656869
I496780;test5;5;1;I496780;06/03/2024;second5;test5;I496780
W134983;test6;6;1;W134983;07/03/2024;second6;test6;W134983
F172423;test7;7;1;F172423;08/03/2024;second7;test7;F172423
F533445;test8;8;1;F533445;09/03/2024;second8;test8;F533445
B35932;test9;9;1;B35932;10/03/2024;second9;test9;B35932
UC86071;test10;10;1;UC86071;11/03/2024;second10;test10;UC86071
CD296;test11;11;1;CD296;12/03/2024;second11;test11;CD296
JB309622;test12;12;1;JB309622;13/03/2024;second12;test12;JB309622
A497437;test13;13;1;A497437;14/03/2024;second13;test13;A497437
BB90892;test14;14;1;BB90892;15/03/2024;second14;test14;BB90892
A392321;test15;15;1;A392321;16/03/2024;second15;test15;A392321
VA103379;test16;16;1;VA103379;17/03/2024;second16;test16;VA103379
W195790;test17;17;1;W195790;18/03/2024;second17;test17;W195790
D854725;test18;18;1;D854725;19/03/2024;second18;test18;D854725
B96626;test19;19;1;B96626;20/03/2024;second19;test19;B96626
C559719;test20;20;1;C559719;21/03/2024;second20;test20;C559719
BB89410;test21;21;1;BB89410;22/03/2024;second21;test21;BB89410
H267070;test22;22;1;H267070;23/03/2024;second22;test22;H267070
BB40152;test23;23;1;BB40152;24/03/2024;second23;test23;BB40152
BE825596;test24;24;1;BE825596;25/03/2024;second24;test24;BE825596
A396956;test25;25;1;A396956;26/03/2024;second25;test25;A396956
F703985;test26;26;1;F703985;27/03/2024;second26;test26;F703985
LE19299;test27;27;1;LE19299;28/03/2024;second27;test27;LE19299
F401803;test28;28;1;F401803;29/03/2024;second28;test28;F401803
M228917;test29;29;1;M228917;30/03/2024;second29;test29;M228917
JK19337;test30;30;1;JK19337;31/03/2024;second30;test30;JK19337
C182855;test31;31;1;C182855;01/04/2024;second31;test31;C182855
D616632;test32;32;1;D616632;02/04/2024;second32;test32;D616632
